time,temperature,humidity,ec,ph
2025.05.29 21:00:00,18.5,63.4,8.5,6.19
2025.05.29 22:00:00,18,64.3,8.5,6.19
2025.05.29 23:00:00,17.6,65.9,8.5,6.19
2025.05.30 00:00:00,17.7,67.7,8.5,6.19
2025.05.30 01:00:00,17.8,68.5,8.5,6.19
2025.05.30 02:00:00,17.9,69,8.5,6.19
2025.05.30 03:00:00,17.5,69.9,8.5,6.19
2025.05.30 04:00:00,17.9,68.8,8.5,6.19
2025.05.30 05:00:00,18,69,8.5,6.19
2025.05.30 06:00:00,18,70.3,8.5,6.19
2025.05.30 07:00:00,18,72.6,8.5,6.19
2025.05.30 08:00:00,18.7,72.3,8.5,6.19
2025.05.30 09:00:00,20,63.6,7.95,5.99
2025.05.30 10:00:00,20,60.2,7.95,5.99
2025.05.30 11:00:00,20,59.7,7.95,5.99
2025.05.30 12:00:00,20,57.5,7.95,5.99
2025.05.30 13:00:00,20,54.4,7.95,5.99
2025.05.30 14:00:00,20,44.1,7.95,5.99
2025.05.30 15:00:00,20,45.2,7.95,5.99
2025.05.30 16:00:00,20,61.3,7.95,5.99
2025.05.30 17:00:00,20,64.1,7.95,5.99
2025.05.30 18:00:00,19,61.7,7.95,5.99
2025.05.30 19:00:00,19.2,61.4,7.95,5.99
2025.05.30 20:00:00,19,62.3,7.95,5.99
2025.05.30 21:00:00,18.4,65.4,7.95,5.99
2025.05.30 22:00:00,17.7,64,7.95,5.99
2025.05.30 23:00:00,17.5,62.8,7.95,5.99
2025.05.31 00:00:00,17.6,64.5,7.95,5.99
2025.05.31 01:00:00,17.7,63.5,7.95,5.99
2025.05.31 02:00:00,17.8,63.2,7.95,5.99
2025.05.31 03:00:00,17.7,64.8,7.95,5.99
2025.05.31 04:00:00,18,63.3,7.95,5.99
2025.05.31 05:00:00,18,64,7.95,5.99
2025.05.31 06:00:00,18,66,7.95,5.99
2025.05.31 07:00:00,18,68.2,7.95,5.99
2025.05.31 08:00:00,18.9,66.2,7.95,5.99
2025.05.31 09:00:00,20,61.8,7.95,5.99
2025.05.31 10:00:00,20,61.1,7.95,5.99
2025.05.31 11:00:00,20,61.7,7.95,5.99
2025.05.31 12:00:00,20,60.3,7.95,5.99
2025.05.31 13:00:00,20,57.7,7.95,5.99
2025.05.31 14:00:00,20,57.2,7.95,5.99
2025.05.31 15:00:00,20,59.9,7.95,5.99
2025.05.31 16:00:00,19.6,62,7.95,5.99
2025.05.31 17:00:00,19.9,64.7,7.95,5.99
2025.05.31 18:00:00,19,67.4,7.95,5.99
2025.05.31 19:00:00,19,69.2,7.95,5.99
2025.05.31 20:00:00,18.6,67.5,7.95,5.99
2025.05.31 21:00:00,18,70.6,7.95,5.99
2025.05.31 22:00:00,17.9,70.4,7.95,5.99
2025.05.31 23:00:00,17.5,70.7,7.95,5.99
2025.06.01 00:00:00,17.6,73.9,7.95,5.99
2025.06.01 01:00:00,17.7,74.2,7.95,5.99
2025.06.01 02:00:00,17.7,73.7,7.95,5.99
2025.06.01 03:00:00,17.5,73.8,7.95,5.99
2025.06.01 04:00:00,17.8,73.8,7.95,5.99
2025.06.01 05:00:00,18,72.7,7.95,5.99
2025.06.01 06:00:00,18,73.1,7.95,5.99
2025.06.01 07:00:00,18,73.6,7.95,5.99
2025.06.01 08:00:00,19.1,71.9,7.95,5.99
2025.06.01 09:00:00,20,61,7.95,5.99
2025.06.01 10:00:00,20,57.4,7.95,5.99
2025.06.01 11:00:00,20,58.1,7.95,5.99
2025.06.01 12:00:00,20,56.8,7.95,5.99
2025.06.01 13:00:00,20,58.3,7.95,5.99
2025.06.01 14:00:00,20,61.1,7.95,5.99
2025.06.01 15:00:00,20,62,7.95,5.99
2025.06.01 16:00:00,20,63.9,7.95,5.99
2025.06.01 17:00:00,20,63,7.95,5.99
2025.06.01 18:00:00,19.9,63.8,7.95,5.99
2025.06.01 19:00:00,19,66.8,7.95,5.99
2025.06.01 20:00:00,19,68.9,7.95,5.99
2025.06.01 21:00:00,18.7,67.9,7.95,5.99
2025.06.01 22:00:00,18,65.5,7.95,5.99
2025.06.01 23:00:00,17.9,70,7.95,5.99
2025.06.02 00:00:00,17.6,71.9,7.95,5.99
2025.06.02 01:00:00,17.5,72.5,7.95,5.99
2025.06.02 02:00:00,17.4,72.1,7.95,5.99
2025.06.02 03:00:00,17.4,72.1,7.95,5.99
2025.06.02 04:00:00,17.3,73.8,7.95,5.99
2025.06.02 05:00:00,17.4,74.3,7.95,5.99
2025.06.02 06:00:00,18,74.6,7.95,5.99
2025.06.02 07:00:00,18,74.5,7.95,5.99
2025.06.02 08:00:00,18.3,75.4,7.95,5.99
2025.06.02 09:00:00,19,75.8,7.95,5.99
2025.06.02 10:00:00,19.1,72.3,7.99,5.82
2025.06.02 11:00:00,20,69,7.99,5.82
2025.06.02 12:00:00,20,69.5,7.99,5.82
2025.06.02 13:00:00,20,68.8,7.99,5.82
2025.06.02 14:00:00,20,64.3,7.99,5.82
2025.06.02 15:00:00,20,67.3,7.99,5.82
2025.06.02 16:00:00,20,69,7.99,5.82
2025.06.02 17:00:00,20,70.2,7.99,5.82
2025.06.02 18:00:00,20,71.5,7.99,5.82
2025.06.02 19:00:00,19.3,71.4,7.99,5.82
2025.06.02 20:00:00,19,73.3,7.99,5.82
2025.06.02 21:00:00,18.1,73.6,7.99,5.82
2025.06.02 22:00:00,18,73.2,7.99,5.82
2025.06.02 23:00:00,17.9,74.7,7.99,5.82
2025.06.03 00:00:00,17.7,75.5,7.99,5.82
2025.06.03 01:00:00,17.6,76.3,7.99,5.82
2025.06.03 02:00:00,17.6,76.9,7.99,5.82
2025.06.03 03:00:00,17.5,78.2,7.99,5.82
2025.06.03 04:00:00,17.7,78.7,7.99,5.82
2025.06.03 05:00:00,17.9,77,7.99,5.82
2025.06.03 06:00:00,18,76.5,7.99,5.82
2025.06.03 07:00:00,18,73.1,7.99,5.82
2025.06.03 08:00:00,19.3,63.9,7.99,5.82
2025.06.03 09:00:00,20,58.5,7.99,5.82
2025.06.03 10:00:00,20,54.1,7.99,5.82
2025.06.03 11:00:00,20,55.8,7.99,5.82
2025.06.03 12:00:00,20,60.2,7.99,5.82
2025.06.03 13:00:00,20,63.4,7.99,5.82
2025.06.03 14:00:00,20,64.4,7.99,5.82
2025.06.03 15:00:00,20,66.4,7.99,5.82
2025.06.03 16:00:00,20,66.6,7.99,5.82
2025.06.03 17:00:00,19.5,65.8,7.99,5.82
2025.06.03 18:00:00,19,66.9,7.99,5.82
2025.06.03 19:00:00,19.4,64,7.99,5.82
2025.06.03 20:00:00,18.6,60.9,7.99,5.82
2025.06.03 21:00:00,18,67.1,7.99,5.82
2025.06.03 22:00:00,17.7,68.1,7.99,5.82
2025.06.03 23:00:00,17.7,66.6,7.99,5.82
2025.06.04 00:00:00,17.8,66.4,7.99,5.82
2025.06.04 01:00:00,17.9,66.5,7.99,5.82
2025.06.04 02:00:00,18,66,7.99,5.82
2025.06.04 03:00:00,17.5,67,7.99,5.82
2025.06.04 04:00:00,18,64.3,7.99,5.82
2025.06.04 05:00:00,18,64.4,7.99,5.82
2025.06.04 06:00:00,18,66.7,7.99,5.82
2025.06.04 07:00:00,18,67.5,7.99,5.82
2025.06.04 08:00:00,19.3,63.6,7.99,5.82
2025.06.04 09:00:00,20,56.6,7.99,5.82
2025.06.04 10:00:00,20,55.8,7.8,6.13
2025.06.04 11:00:00,20,55.9,7.8,6.13
2025.06.04 12:00:00,20,58.1,7.8,6.13
2025.06.04 13:00:00,20,56.7,7.8,6.13
2025.06.04 14:00:00,19.6,59.1,7.8,6.13
2025.06.04 15:00:00,19.7,65.4,7.8,6.13
2025.06.04 16:00:00,20,63.9,7.8,6.13
2025.06.04 17:00:00,20,61.4,7.8,6.13
2025.06.04 18:00:00,20,52.7,7.8,6.13
2025.06.04 19:00:00,20,48.1,7.86,5.89
2025.06.04 20:00:00,19.4,58.4,7.86,5.89
2025.06.04 21:00:00,18.6,66.5,7.86,5.89
2025.06.04 22:00:00,18,70.5,7.86,5.89
2025.06.04 23:00:00,17.8,70.4,7.86,5.89
2025.06.05 00:00:00,17.6,71.5,7.86,5.89
2025.06.05 01:00:00,17.6,71.5,7.86,5.89
2025.06.05 02:00:00,17.7,71.3,7.86,5.89
2025.06.05 03:00:00,17.6,71.6,7.86,5.89
2025.06.05 04:00:00,18,70.2,7.86,5.89
2025.06.05 05:00:00,18,69.3,7.86,5.89
2025.06.05 06:00:00,18,69.6,7.86,5.89
2025.06.05 07:00:00,18,70.4,7.86,5.89
2025.06.05 08:00:00,19.2,67,7.86,5.89
2025.06.05 09:00:00,20,56.6,7.86,5.89
2025.06.05 10:00:00,20,53.8,7.86,5.89
2025.06.05 11:00:00,20,54,7.86,5.89
2025.06.05 12:00:00,20,54.1,7.86,5.89
2025.06.05 13:00:00,20,55.7,7.86,5.89
2025.06.05 14:00:00,20,53.2,7.86,5.89
2025.06.05 15:00:00,20,51.8,7.86,5.89
2025.06.05 16:00:00,20,47.8,7.86,5.89
2025.06.05 17:00:00,20,46.9,7.86,5.89
2025.06.05 18:00:00,20,50.6,8.12,5.08
2025.06.05 19:00:00,19.9,48.1,8.12,5.08
2025.06.05 20:00:00,19,48.1,8.12,5.08
2025.06.05 21:00:00,19,51.8,8.12,5.08
2025.06.05 22:00:00,18.3,54.2,8.12,5.08
2025.06.05 23:00:00,18,53.8,8.12,5.08
2025.06.06 00:00:00,18,50.5,8.12,5.08
2025.06.06 01:00:00,18,48.8,8.12,5.08
2025.06.06 02:00:00,17.9,52.4,8.12,5.08
2025.06.06 03:00:00,17.7,56,8.12,5.08
2025.06.06 04:00:00,17.5,52.5,8.12,5.08
2025.06.06 05:00:00,17.5,52.1,8.12,5.08
2025.06.06 06:00:00,17.9,52.8,8.12,5.08
2025.06.06 07:00:00,18.7,53.4,8.12,5.08
2025.06.06 08:00:00,19.9,51,8.12,5.08
2025.06.06 09:00:00,20.1,53.2,8.12,5.08
2025.06.06 10:00:00,20.8,50.9,8.12,5.08
2025.06.06 11:00:00,21,52.6,8.12,5.08
2025.06.06 12:00:00,21,52.9,8.12,5.08
2025.06.06 13:00:00,20.6,53.1,8.12,5.08
2025.06.06 14:00:00,20,53.8,8.12,5.08
2025.06.06 15:00:00,20,59.1,8.12,5.08
2025.06.06 16:00:00,20,58.5,8.12,5.08
2025.06.06 17:00:00,20,59.7,8.12,5.08
2025.06.06 18:00:00,20,60.5,8.12,5.08
2025.06.06 19:00:00,20,58.6,8.12,5.08
2025.06.06 20:00:00,19.1,58.8,8.12,5.08
2025.06.06 21:00:00,19,61,8.12,5.08
2025.06.06 22:00:00,19,60.7,8.12,5.08
2025.06.06 23:00:00,19,57.4,8.12,5.08
2025.06.07 00:00:00,19,56.5,8.12,5.08
2025.06.07 01:00:00,19,56.2,8.12,5.08
2025.06.07 02:00:00,18,56.3,8.12,5.08
2025.06.07 03:00:00,18,58.8,8.12,5.08
2025.06.07 04:00:00,18,60.3,8.12,5.08
2025.06.07 05:00:00,18,64.6,8.12,5.08
2025.06.07 06:00:00,18.4,64.7,8.12,5.08
2025.06.07 07:00:00,19.5,62.9,8.12,5.08
2025.06.07 08:00:00,20,66.5,8.12,5.08
2025.06.07 09:00:00,20,69.6,8.12,5.08
2025.06.07 10:00:00,20,66.7,8.12,5.08
2025.06.07 11:00:00,20,65.7,8.12,5.08
2025.06.07 12:00:00,20,63.8,8.12,5.08
2025.06.07 13:00:00,20,62,8.12,5.08
2025.06.07 14:00:00,20,63.2,8.12,5.08
2025.06.07 15:00:00,20,62.2,8.12,5.08
2025.06.07 16:00:00,20,66.3,8.12,5.08
2025.06.07 17:00:00,20,66.6,8.12,5.08
2025.06.07 18:00:00,20,67.6,8.12,5.08
2025.06.07 19:00:00,20,68.8,8.12,5.08
2025.06.07 20:00:00,19.1,74.2,8.12,5.08
2025.06.07 21:00:00,19,80,8.12,5.08
2025.06.07 22:00:00,19,82.2,8.12,5.08
2025.06.07 23:00:00,19,82.9,8.12,5.08
2025.06.08 00:00:00,19,83.1,8.12,5.08
2025.06.08 01:00:00,19,84,8.12,5.08
2025.06.08 02:00:00,19,84,8.12,5.08
2025.06.08 03:00:00,19,83.1,8.12,5.08
2025.06.08 04:00:00,19,84.9,8.12,5.08
2025.06.08 05:00:00,19,84.6,8.12,5.08
2025.06.08 06:00:00,19.2,82.7,8.12,5.08
2025.06.08 07:00:00,20,79.2,8.12,5.08
2025.06.08 08:00:00,20,75.8,8.12,5.08
2025.06.08 09:00:00,20,67.3,8.12,5.08
2025.06.08 10:00:00,20,58.6,8.12,5.08
2025.06.08 11:00:00,20,58.5,8.12,5.08
2025.06.08 12:00:00,20,58.9,8.12,5.08
2025.06.08 13:00:00,20,59,8.12,5.08
2025.06.08 14:00:00,20,59.5,8.12,5.08
2025.06.08 15:00:00,20,61.6,8.12,5.08
2025.06.08 16:00:00,20,62.9,8.12,5.08
2025.06.08 17:00:00,20,64.9,8.12,5.08
2025.06.08 18:00:00,20,65.4,8.12,5.08
2025.06.08 19:00:00,20,66.8,8.12,5.08
2025.06.08 20:00:00,19.4,71.5,8.12,5.08
2025.06.08 21:00:00,19,78.7,8.12,5.08
2025.06.08 22:00:00,19,81,8.12,5.08
2025.06.08 23:00:00,19,81.2,8.12,5.08
2025.06.09 00:00:00,19,81.8,8.12,5.08
2025.06.09 01:00:00,19,82.7,8.12,5.08
2025.06.09 02:00:00,19,83.3,8.12,5.08
2025.06.09 03:00:00,19,82.2,8.12,5.08
2025.06.09 04:00:00,19,82.8,8.12,5.08
2025.06.09 05:00:00,18.2,80.8,8.12,5.08
2025.06.09 06:00:00,18.4,77.2,8.12,5.08
2025.06.09 07:00:00,19,75.4,8.12,5.08
2025.06.09 08:00:00,19.9,72.4,8.12,5.08
2025.06.09 09:00:00,20,61.3,8.12,5.08
2025.06.09 10:00:00,20,57.8,8.1,5.15
2025.06.09 11:00:00,20.5,58.3,8.1,5.15
2025.06.09 12:00:00,20.3,57.1,8.1,5.15
2025.06.09 13:00:00,20,58.1,8.1,5.15
2025.06.09 14:00:00,20,60.3,8.1,5.15
2025.06.09 15:00:00,20,62.4,8.1,5.15
2025.06.09 16:00:00,20,65.4,8.1,5.15
2025.06.09 17:00:00,20,63.3,8.1,5.15
2025.06.09 18:00:00,20,66.3,8.1,5.15
2025.06.09 19:00:00,20,69.7,8.1,5.15
2025.06.09 20:00:00,19.1,75.2,8.1,5.15
2025.06.09 21:00:00,19,79.8,8.1,5.15
2025.06.09 22:00:00,19,81,8.1,5.15
2025.06.09 23:00:00,19,81.9,8.1,5.15
2025.06.10 00:00:00,19,82,8.1,5.15
2025.06.10 01:00:00,19,82.9,8.1,5.15
2025.06.10 02:00:00,18.4,82.1,8.1,5.15
2025.06.10 03:00:00,18,82.4,8.1,5.15
2025.06.10 04:00:00,18,83,8.1,5.15
2025.06.10 05:00:00,18,83,8.1,5.15
2025.06.10 06:00:00,18.7,82.5,8.1,5.15
2025.06.10 07:00:00,19.7,79.3,8.1,5.15
2025.06.10 08:00:00,20,76.9,8.1,5.15
2025.06.10 09:00:00,20,72.8,8.1,5.15
2025.06.10 10:00:00,20,70.7,8.1,5.15
2025.06.10 11:00:00,20,69.3,8.1,5.15
2025.06.10 12:00:00,20,70.5,8.1,5.15
2025.06.10 13:00:00,20,69.2,8.1,5.15
2025.06.10 14:00:00,20,67.1,8.1,5.15
2025.06.10 15:00:00,20,65.5,7.99,5.72
2025.06.10 16:00:00,20,67.5,7.99,5.72
2025.06.10 17:00:00,20,67,7.99,5.72
2025.06.10 18:00:00,20,66.8,7.99,5.72
2025.06.10 19:00:00,20,68.2,7.99,5.72
2025.06.10 20:00:00,19,73.8,8.1,5.48
2025.06.10 21:00:00,19,77.7,8.1,5.48
2025.06.10 22:00:00,18,74.2,8.1,5.48
2025.06.10 23:00:00,18,70,8.1,5.48
2025.06.11 00:00:00,18,69.5,8.1,5.48
2025.06.11 01:00:00,17.9,69.5,8.1,5.48
2025.06.11 02:00:00,17.8,70.3,8.1,5.48
2025.06.11 03:00:00,17.8,71.5,8.1,5.48
2025.06.11 04:00:00,17.9,73,8.1,5.48
2025.06.11 05:00:00,18,73.6,8.1,5.48
2025.06.11 06:00:00,18,74.6,8.1,5.48
2025.06.11 07:00:00,18,74.8,8.1,5.48
2025.06.11 08:00:00,19.6,67.9,8.1,5.48
2025.06.11 09:00:00,20.3,52.7,7.95,6.06
2025.06.11 10:00:00,21,50.9,7.95,6.06
2025.06.11 11:00:00,20.6,52.5,7.95,6.06
2025.06.11 12:00:00,20,53.5,7.95,6.06
2025.06.11 13:00:00,20,56,7.95,6.06
2025.06.11 14:00:00,20,58,7.95,6.06
2025.06.11 15:00:00,20,60.7,7.95,6.06
2025.06.11 16:00:00,20,61,7.95,6.06
2025.06.11 17:00:00,20,61.1,7.9,5.64
2025.06.11 18:00:00,20,64,7.9,5.64
2025.06.11 19:00:00,20,65.7,7.9,5.64
2025.06.11 20:00:00,19.2,70.6,7.9,5.64
2025.06.11 21:00:00,19,75,7.9,5.64
2025.06.11 22:00:00,18.6,71.6,7.9,5.64
2025.06.11 23:00:00,18,71.3,7.9,5.64
2025.06.12 00:00:00,18,72.8,7.9,5.64
2025.06.12 01:00:00,18,75.6,7.9,5.64
2025.06.12 02:00:00,18,76.2,7.9,5.64
2025.06.12 03:00:00,18,76.9,7.9,5.64
2025.06.12 04:00:00,17.9,76.6,7.9,5.64
2025.06.12 05:00:00,17.9,76.4,7.9,5.64
2025.06.12 06:00:00,18,75.4,7.9,5.64
2025.06.12 07:00:00,18.3,75.4,7.9,5.64
2025.06.12 08:00:00,20,65.7,7.9,5.64
2025.06.12 09:00:00,21,50.6,7.9,5.64
2025.06.12 10:00:00,21,48.4,8.1,5.26
2025.06.12 11:00:00,21,49.4,8.1,5.26
2025.06.12 12:00:00,20.5,51.3,8.1,5.26
2025.06.12 13:00:00,20,53,8.1,5.26
2025.06.12 14:00:00,20,54.1,8.1,5.26
2025.06.12 15:00:00,20,59.1,8.1,5.26
2025.06.12 16:00:00,20,59.9,8.1,5.26
2025.06.12 17:00:00,20,57.6,8.1,5.26
2025.06.12 18:00:00,20,60.6,8.1,5.26
2025.06.12 19:00:00,20,61.7,8.1,5.26
2025.06.12 20:00:00,19.3,67.7,8.1,5.26
2025.06.12 21:00:00,19,75.1,8.1,5.26
2025.06.12 22:00:00,19,74.4,8.1,5.26
2025.06.12 23:00:00,19,74.3,8.1,5.26
2025.06.13 00:00:00,19,75.3,8.1,5.26
2025.06.13 01:00:00,19,76.3,8.1,5.26
2025.06.13 02:00:00,18.3,77.8,8.1,5.26
2025.06.13 03:00:00,18,78.1,8.1,5.26
2025.06.13 04:00:00,18,77.2,8.1,5.26
2025.06.13 05:00:00,18,78.7,8.1,5.26
2025.06.13 06:00:00,18.4,76.9,8.1,5.26
2025.06.13 07:00:00,19.4,73.1,8.1,5.26
2025.06.13 08:00:00,20,67.4,8.1,5.26
2025.06.13 09:00:00,20,64.4,8.1,5.26
2025.06.13 10:00:00,20.2,60,8.07,5.94
2025.06.13 11:00:00,20,57.3,8.07,5.94
2025.06.13 12:00:00,20.7,57.6,8.07,5.94
2025.06.13 13:00:00,20.1,57.4,8.07,5.94
2025.06.13 14:00:00,20,60.3,8.07,5.94
2025.06.13 15:00:00,20,62.1,8.07,5.94
2025.06.13 16:00:00,20,63,8.07,5.94
2025.06.13 17:00:00,20,65.8,8.3,4.74
2025.06.13 18:00:00,20,68.8,8.3,4.74
2025.06.13 19:00:00,19.7,70.6,8.3,4.74
2025.06.13 20:00:00,19.2,75.3,8.3,4.74
2025.06.13 21:00:00,19,80.3,8.3,4.74
2025.06.13 22:00:00,19,81.2,8.3,4.74
2025.06.13 23:00:00,19,82,8.3,4.74
2025.06.14 00:00:00,19,82.1,8.3,4.74
2025.06.14 01:00:00,19,83,8.3,4.74
2025.06.14 02:00:00,19,83,8.3,4.74
2025.06.14 03:00:00,18.4,81.7,8.3,4.74
2025.06.14 04:00:00,18,82,8.3,4.74
2025.06.14 05:00:00,18,83,8.3,4.74
2025.06.14 06:00:00,18.8,82.1,8.3,4.74
2025.06.14 07:00:00,19.5,78.3,8.3,4.74
2025.06.14 08:00:00,20,75,8.3,4.74
2025.06.14 09:00:00,20.3,69.3,8.3,4.74
2025.06.14 10:00:00,20.5,58.6,8.3,4.74
2025.06.14 11:00:00,20,59.1,8.3,4.74
2025.06.14 12:00:00,20,58.6,8.3,4.74
2025.06.14 13:00:00,20,58.8,8.3,4.74
2025.06.14 14:00:00,20,59.6,8.3,4.74
2025.06.14 15:00:00,20,60.6,8.3,4.74
2025.06.14 16:00:00,20,62.1,8.3,4.74
2025.06.14 17:00:00,20,61.8,8.3,4.74
2025.06.14 18:00:00,20,62.8,8.3,4.74
2025.06.14 19:00:00,20,65.9,8.3,4.74
2025.06.14 20:00:00,19.2,71.9,8.3,4.74
2025.06.14 21:00:00,19,78.5,8.3,4.74
2025.06.14 22:00:00,19,79.5,8.3,4.74
2025.06.14 23:00:00,19,80.5,8.3,4.74
2025.06.15 00:00:00,19,81.8,8.3,4.74
2025.06.15 01:00:00,19,82,8.3,4.74
2025.06.15 02:00:00,19,82,8.3,4.74
2025.06.15 03:00:00,19,81.7,8.3,4.74
2025.06.15 04:00:00,18.9,82.8,8.3,4.74
2025.06.15 05:00:00,18.3,83,8.3,4.74
2025.06.15 06:00:00,19,82.2,8.3,4.74
2025.06.15 07:00:00,20,77.4,8.3,4.74
2025.06.15 08:00:00,20.2,62.1,8.3,4.74
2025.06.15 09:00:00,20.5,52.9,8.3,4.74
2025.06.15 10:00:00,21,51.7,8.3,4.74
2025.06.15 11:00:00,21,52.9,8.3,4.74
2025.06.15 12:00:00,20.9,52.9,8.3,4.74
2025.06.15 13:00:00,21,54.9,8.3,4.74
2025.06.15 14:00:00,21,56.2,8.3,4.74
2025.06.15 15:00:00,20.2,57.2,8.3,4.74
2025.06.15 16:00:00,20,60.2,8.3,4.74
2025.06.15 17:00:00,20,62.2,8.3,4.74
2025.06.15 18:00:00,20,66.1,8.3,4.74
2025.06.15 19:00:00,20,68.9,8.3,4.74
2025.06.15 20:00:00,19.5,74.1,8.3,4.74
2025.06.15 21:00:00,19,80,8.3,4.74
2025.06.15 22:00:00,19.9,83.5,8.3,4.74
2025.06.15 23:00:00,19.1,83,8.3,4.74
2025.06.16 00:00:00,19,85.1,8.3,4.74
2025.06.16 01:00:00,19,86,8.3,4.74
2025.06.16 02:00:00,19,86,8.3,4.74
2025.06.16 03:00:00,19,85.6,8.3,4.74
2025.06.16 04:00:00,19,88,8.3,4.74
2025.06.16 05:00:00,19,88,8.3,4.74
2025.06.16 06:00:00,19,85.7,8.3,4.74
2025.06.16 07:00:00,19,82.6,8.3,4.74
2025.06.16 08:00:00,19,81.1,8.3,4.74
2025.06.16 09:00:00,19,76.8,8.3,4.74
2025.06.16 10:00:00,19,79.4,8.3,4.74
2025.06.16 11:00:00,19,78,8.3,4.74
2025.06.16 12:00:00,19.9,74.4,8.02,6.2
2025.06.16 13:00:00,20,74.7,8.02,6.2
2025.06.16 14:00:00,20,74.2,8.02,6.2
2025.06.16 15:00:00,19.1,73.5,8.02,6.2
2025.06.16 16:00:00,19.8,75.9,8.02,6.2
2025.06.16 17:00:00,19.6,71.6,8.02,6.2
2025.06.16 18:00:00,19,72.9,8.02,6.2
